name,id,stripped_tweet,time
ChrisVasiliadis,186755678,"το πιάσαμε το...υπονοούμενο&gt;&gt;&gt; Τσίπρας: Επιχειρείτε να δεσμεύσετε τις επόμενες κυβερνήσεις... - Newpost.gr:",1389958786
AvgiOnline,52732962,"Τσίπρας στη βουλή: Ποιός θα πληρώσει τα δάνεια ΠΑΣΟΚ-ΝΔ; Ο λαός; Ροή ειδήσεων",1389958498
epninos,19104038,"Α. Τσίπρας: ""Πότε θα ελεγχθούν τα δάνεια των ιδιωτικών τραπεζών προς επιχειρηματίες, ΜΜΕ και πολιτικά κόμματα;""",1389958354
HellasChannel,398624324,"Τσίπρας: Είστε κυβέρνηση σε αποδρομή - Στουρνάρας: Βιάζεστε...",1389958182
glyfadaweb,244664763,"Τσίπρας: Είστε κυβέρνηση σε αποδρομή - ΓΛΥΦΑΔΑ WEB",1389957867
Dexi_Extrem,17895667,"Στουρνάρας: Ξεκίνησε η κάθαρση, δεν χαριζόμαστε σε κανένα -Τσίπρας: Οδηγός διαπλοκής τα τραπεζικά σκά...",1389957249
ForologikaNea24,1223313486,"Τσίπρας εναντίον Στουρνάρα στη Βουλή: «Ποιος θα πληρώσει τα δάνεια του ΠΑΣΟΚ αν αλλάξει όνομ...",1389957248
dimitrisXY,167657361,"Πήγα να γράψω ότι ο Τσίπρας μίλησε με αλαζονεία τώρα στη βουλή, αλλά το ενοχικό τραύλισμα Στουρνάρα στην απάντηση δείχνει…",1389956625
RThessaloniki,1303429291,"Τσίπρας: ΠτΔ θα εκλέξει η νέα βουλή. Μετωπική με Στουρνάρα για τράπεζες",1389956620
taxispanos,829434745,"Στουρνάρας Δεν χαριστήκαμε ούτε θα χαριστούμε σε κανέναν – Τσίπρας Οδηγός διαπλοκής",1389956150
clevernews,184988911,"Τσίπρας: Τον επόμενο Πρόεδρο της Δημοκρατίας θα τον εκλέξει η νέα Βουλή",1389955959
bnogr,16218491,"enet news Τσίπρας: ""Επόμενο Πρόεδρο Δημοκρατίας θα εκλέξει η Βουλή"": Τον επόμενο Πρόεδρο της Δημοκρατίας θα εκ...",1389955808
billbotonis,297818529,"Κι ο Σαμαράς μπλεγμένος σε ροζ σκάνδαλο!",1389965362
arsenalistas91,417814338,"Δίλημμα ΠΑΛΙ. Ευρωπαϊαστής Σαμαράς ή Αντιευρωπαϊστής Farage? Μα ο Farage είπε την ΑΛΗΘΕΙΑ. Άρα: ΤΟ ΨΕΜΑ ΤΟΥ ΣΑΜΑΤΑ ή ΤΗΝ ΑΛΗΘ…",1389965023
dionisissynnef,1042030044,"Την Δευτέρα στην ο Βορίδης,έχει καλεσμένους τους Πρετεντέρη,Πάγκαλο και σαν νέο μέλος του team τον Τατσόπουλο",1389965018
lagana_mairi,623925981,"Αυτές είναι οι απολύσεις που έχουν υπογράψει Σαμαράς, Βενιζέλος, Στουρνάρας και ΣΙΑ",1389964937
paraskhnio,268283495,"Αποφασισμένος να κερδίσει τη «μάχη» στις εκλογές ο Σαμαράς",1389964928
alafroiskioti,363067598,"Το νερό δεν πωλείται! Σαμαράς και Βενιζέλος στη διαμαρτυρία για την ΕΥΑΘ: via",1389964682
KIRKH_,286734047,"Ίσως ο Σαμαράς ήθελε να τραβήξει το θέμα Καραμολέγκου για να ασχολούνται τα ΜΜΕ, γι αυτό στράβωσε με τον παραδοθέντα κ είπε να το…",1389964474
fevgatogr,408691155,"Ο Σαμαράς έγινε χάμπουργκερ! | fevgato.",1389964417
